OBS_VALUE,TIME_FORMAT,UNIT_MULT,COMMENT_OBS,OBS_STATUS,OBS_CONF,AGG_METHOD,DECIMALS,COMMENT_TS,DATA_SOURCE,LATEST_DATA,DATABASE_ID,INDICATOR,REF_AREA,SEX,AGE,URBANISATION,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,FREQ,UNIT_MEASURE,UNIT_TYPE
36.4,P1Y,0,,A,PU,_Z,2,Gini index,WB_WDI,False,WB_WDI,WB_WDI_SI_POV_GINI,THA,_T,_T,_T,_Z,_Z,_Z,2017,A,0_TO_100,
36.4,P1Y,0,,A,PU,_Z,2,Gini index,WB_WDI,False,WB_WDI,WB_WDI_SI_POV_GINI,THA,_T,_T,_T,_Z,_Z,_Z,2018,A,0_TO_100,
34.9,P1Y,0,,A,PU,_Z,2,Gini index,WB_WDI,False,WB_WDI,WB_WDI_SI_POV_GINI,THA,_T,_T,_T,_Z,_Z,_Z,2021,A,0_TO_100,
42.8,P1Y,0,,A,PU,_Z,2,Gini index,WB_WDI,False,WB_WDI,WB_WDI_SI_POV_GINI,THA,_T,_T,_T,_Z,_Z,_Z,2000,A,0_TO_100,
36.7,P1Y,0,,A,PU,_Z,2,Gini index,WB_WDI,False,WB_WDI,WB_WDI_SI_POV_GINI,THA,_T,_T,_T,_Z,_Z,_Z,2016,A,0_TO_100,
37.5,P1Y,0,,A,PU,_Z,2,Gini index,WB_WDI,False,WB_WDI,WB_WDI_SI_POV_GINI,THA,_T,_T,_T,_Z,_Z,_Z,2011,A,0_TO_100,
41.8,P1Y,0,,A,PU,_Z,2,Gini index,WB_WDI,False,WB_WDI,WB_WDI_SI_POV_GINI,THA,_T,_T,_T,_Z,_Z,_Z,2006,A,0_TO_100,
37.8,P1Y,0,,A,PU,_Z,2,Gini index,WB_WDI,False,WB_WDI,WB_WDI_SI_POV_GINI,THA,_T,_T,_T,_Z,_Z,_Z,2013,A,0_TO_100,
42.5,P1Y,0,,A,PU,_Z,2,Gini index,WB_WDI,False,WB_WDI,WB_WDI_SI_POV_GINI,THA,_T,_T,_T,_Z,_Z,_Z,2004,A,0_TO_100,
33.5,P1Y,0,,A,PU,_Z,2,Gini index,WB_WDI,True,WB_WDI,WB_WDI_SI_POV_GINI,THA,_T,_T,_T,_Z,_Z,_Z,2023,A,0_TO_100,
39.4,P1Y,0,,A,PU,_Z,2,Gini index,WB_WDI,False,WB_WDI,WB_WDI_SI_POV_GINI,THA,_T,_T,_T,_Z,_Z,_Z,2010,A,0_TO_100,
39.3,P1Y,0,,A,PU,_Z,2,Gini index,WB_WDI,False,WB_WDI,WB_WDI_SI_POV_GINI,THA,_T,_T,_T,_Z,_Z,_Z,2012,A,0_TO_100,
40.3,P1Y,0,,A,PU,_Z,2,Gini index,WB_WDI,False,WB_WDI,WB_WDI_SI_POV_GINI,THA,_T,_T,_T,_Z,_Z,_Z,2008,A,0_TO_100,
39.8,P1Y,0,,A,PU,_Z,2,Gini index,WB_WDI,False,WB_WDI,WB_WDI_SI_POV_GINI,THA,_T,_T,_T,_Z,_Z,_Z,2007,A,0_TO_100,
36,P1Y,0,,A,PU,_Z,2,Gini index,WB_WDI,False,WB_WDI,WB_WDI_SI_POV_GINI,THA,_T,_T,_T,_Z,_Z,_Z,2015,A,0_TO_100,
41.9,P1Y,0,,A,PU,_Z,2,Gini index,WB_WDI,False,WB_WDI,WB_WDI_SI_POV_GINI,THA,_T,_T,_T,_Z,_Z,_Z,2002,A,0_TO_100,
37,P1Y,0,,A,PU,_Z,2,Gini index,WB_WDI,False,WB_WDI,WB_WDI_SI_POV_GINI,THA,_T,_T,_T,_Z,_Z,_Z,2014,A,0_TO_100,
34.9,P1Y,0,,A,PU,_Z,2,Gini index,WB_WDI,False,WB_WDI,WB_WDI_SI_POV_GINI,THA,_T,_T,_T,_Z,_Z,_Z,2019,A,0_TO_100,
39.6,P1Y,0,,A,PU,_Z,2,Gini index,WB_WDI,False,WB_WDI,WB_WDI_SI_POV_GINI,THA,_T,_T,_T,_Z,_Z,_Z,2009,A,0_TO_100,
35,P1Y,0,,A,PU,_Z,2,Gini index,WB_WDI,False,WB_WDI,WB_WDI_SI_POV_GINI,THA,_T,_T,_T,_Z,_Z,_Z,2020,A,0_TO_100,
34.3,P1Y,0,,A,PU,_Z,2,Gini index,WB_WDI,False,WB_WDI,WB_WDI_SI_POV_GINI,THA,_T,_T,_T,_Z,_Z,_Z,2022,A,0_TO_100,
