OBS_VALUE,TIME_FORMAT,UNIT_MULT,COMMENT_OBS,OBS_STATUS,OBS_CONF,AGG_METHOD,DECIMALS,COMMENT_TS,DATA_SOURCE,LATEST_DATA,DATABASE_ID,INDICATOR,REF_AREA,SEX,AGE,URBANISATION,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,FREQ,UNIT_MEASURE,UNIT_TYPE
2.21,P1Y,0,,A,PU,_Z,2,"Hospital beds (per 1,000 people)",WB_WDI,False,WB_WDI,WB_WDI_SH_MED_BEDS_ZS,VNM,_T,_T,_T,_Z,_Z,_Z,2011,A,10P3PS,
1.9,P1Y,0,,A,PU,_Z,2,"Hospital beds (per 1,000 people)",WB_WDI,False,WB_WDI,WB_WDI_SH_MED_BEDS_ZS,VNM,_T,_T,_T,_Z,_Z,_Z,2009,A,10P3PS,
2.02,P1Y,0,,A,PU,_Z,2,"Hospital beds (per 1,000 people)",WB_WDI,False,WB_WDI,WB_WDI_SH_MED_BEDS_ZS,VNM,_T,_T,_T,_Z,_Z,_Z,2010,A,10P3PS,
2.53,P1Y,0,,A,PU,_Z,2,"Hospital beds (per 1,000 people)",WB_WDI,False,WB_WDI,WB_WDI_SH_MED_BEDS_ZS,VNM,_T,_T,_T,_Z,_Z,_Z,2015,A,10P3PS,
1.41,P1Y,0,,A,PU,_Z,2,"Hospital beds (per 1,000 people)",WB_WDI,False,WB_WDI,WB_WDI_SH_MED_BEDS_ZS,VNM,_T,_T,_T,_Z,_Z,_Z,2001,A,10P3PS,
1.51,P1Y,0,,A,PU,_Z,2,"Hospital beds (per 1,000 people)",WB_WDI,False,WB_WDI,WB_WDI_SH_MED_BEDS_ZS,VNM,_T,_T,_T,_Z,_Z,_Z,2004,A,10P3PS,
2.43,P1Y,0,,A,PU,_Z,2,"Hospital beds (per 1,000 people)",WB_WDI,False,WB_WDI,WB_WDI_SH_MED_BEDS_ZS,VNM,_T,_T,_T,_Z,_Z,_Z,2014,A,10P3PS,
2.55,P1Y,0,,A,PU,_Z,2,"Hospital beds (per 1,000 people)",WB_WDI,True,WB_WDI,WB_WDI_SH_MED_BEDS_ZS,VNM,_T,_T,_T,_Z,_Z,_Z,2017,A,10P3PS,
2.28,P1Y,0,,A,PU,_Z,2,"Hospital beds (per 1,000 people)",WB_WDI,False,WB_WDI,WB_WDI_SH_MED_BEDS_ZS,VNM,_T,_T,_T,_Z,_Z,_Z,2012,A,10P3PS,
1.53,P1Y,0,,A,PU,_Z,2,"Hospital beds (per 1,000 people)",WB_WDI,False,WB_WDI,WB_WDI_SH_MED_BEDS_ZS,VNM,_T,_T,_T,_Z,_Z,_Z,2005,A,10P3PS,
1.57,P1Y,0,,A,PU,_Z,2,"Hospital beds (per 1,000 people)",WB_WDI,False,WB_WDI,WB_WDI_SH_MED_BEDS_ZS,VNM,_T,_T,_T,_Z,_Z,_Z,2006,A,10P3PS,
2.31,P1Y,0,,A,PU,_Z,2,"Hospital beds (per 1,000 people)",WB_WDI,False,WB_WDI,WB_WDI_SH_MED_BEDS_ZS,VNM,_T,_T,_T,_Z,_Z,_Z,2013,A,10P3PS,
1.77,P1Y,0,,A,PU,_Z,2,"Hospital beds (per 1,000 people)",WB_WDI,False,WB_WDI,WB_WDI_SH_MED_BEDS_ZS,VNM,_T,_T,_T,_Z,_Z,_Z,2008,A,10P3PS,
1.4,P1Y,0,,A,PU,_Z,2,"Hospital beds (per 1,000 people)",WB_WDI,False,WB_WDI,WB_WDI_SH_MED_BEDS_ZS,VNM,_T,_T,_T,_Z,_Z,_Z,2000,A,10P3PS,
1.68,P1Y,0,,A,PU,_Z,2,"Hospital beds (per 1,000 people)",WB_WDI,False,WB_WDI,WB_WDI_SH_MED_BEDS_ZS,VNM,_T,_T,_T,_Z,_Z,_Z,2007,A,10P3PS,
2.49,P1Y,0,,A,PU,_Z,2,"Hospital beds (per 1,000 people)",WB_WDI,False,WB_WDI,WB_WDI_SH_MED_BEDS_ZS,VNM,_T,_T,_T,_Z,_Z,_Z,2016,A,10P3PS,
1.44,P1Y,0,,A,PU,_Z,2,"Hospital beds (per 1,000 people)",WB_WDI,False,WB_WDI,WB_WDI_SH_MED_BEDS_ZS,VNM,_T,_T,_T,_Z,_Z,_Z,2003,A,10P3PS,
1.42,P1Y,0,,A,PU,_Z,2,"Hospital beds (per 1,000 people)",WB_WDI,False,WB_WDI,WB_WDI_SH_MED_BEDS_ZS,VNM,_T,_T,_T,_Z,_Z,_Z,2002,A,10P3PS,
