OBS_VALUE,TIME_FORMAT,UNIT_MULT,COMMENT_OBS,OBS_STATUS,OBS_CONF,AGG_METHOD,DECIMALS,COMMENT_TS,DATA_SOURCE,LATEST_DATA,DATABASE_ID,INDICATOR,REF_AREA,SEX,AGE,URBANISATION,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,FREQ,UNIT_MEASURE,UNIT_TYPE
7.9,P1Y,0,,A,PU,_Z,2,Poverty headcount ratio at national poverty lines (% of population),WB_WDI,False,WB_WDI,WB_WDI_SI_POV_NAHC,THA,_T,_T,_T,_Z,_Z,_Z,2017,A,PT_POP,
9.9,P1Y,0,,A,PU,_Z,2,Poverty headcount ratio at national poverty lines (% of population),WB_WDI,False,WB_WDI,WB_WDI_SI_POV_NAHC,THA,_T,_T,_T,_Z,_Z,_Z,2018,A,PT_POP,
6.3,P1Y,0,,A,PU,_Z,2,Poverty headcount ratio at national poverty lines (% of population),WB_WDI,False,WB_WDI,WB_WDI_SI_POV_NAHC,THA,_T,_T,_T,_Z,_Z,_Z,2021,A,PT_POP,
42.3,P1Y,0,,A,PU,_Z,2,Poverty headcount ratio at national poverty lines (% of population),WB_WDI,False,WB_WDI,WB_WDI_SI_POV_NAHC,THA,_T,_T,_T,_Z,_Z,_Z,2000,A,PT_POP,
8.6,P1Y,0,,A,PU,_Z,2,Poverty headcount ratio at national poverty lines (% of population),WB_WDI,False,WB_WDI,WB_WDI_SI_POV_NAHC,THA,_T,_T,_T,_Z,_Z,_Z,2016,A,PT_POP,
13.2,P1Y,0,,A,PU,_Z,2,Poverty headcount ratio at national poverty lines (% of population),WB_WDI,False,WB_WDI,WB_WDI_SI_POV_NAHC,THA,_T,_T,_T,_Z,_Z,_Z,2011,A,PT_POP,
21.9,P1Y,0,,A,PU,_Z,2,Poverty headcount ratio at national poverty lines (% of population),WB_WDI,False,WB_WDI,WB_WDI_SI_POV_NAHC,THA,_T,_T,_T,_Z,_Z,_Z,2006,A,PT_POP,
10.9,P1Y,0,,A,PU,_Z,2,Poverty headcount ratio at national poverty lines (% of population),WB_WDI,False,WB_WDI,WB_WDI_SI_POV_NAHC,THA,_T,_T,_T,_Z,_Z,_Z,2013,A,PT_POP,
26.8,P1Y,0,,A,PU,_Z,2,Poverty headcount ratio at national poverty lines (% of population),WB_WDI,False,WB_WDI,WB_WDI_SI_POV_NAHC,THA,_T,_T,_T,_Z,_Z,_Z,2004,A,PT_POP,
16.4,P1Y,0,,A,PU,_Z,2,Poverty headcount ratio at national poverty lines (% of population),WB_WDI,False,WB_WDI,WB_WDI_SI_POV_NAHC,THA,_T,_T,_T,_Z,_Z,_Z,2010,A,PT_POP,
12.6,P1Y,0,,A,PU,_Z,2,Poverty headcount ratio at national poverty lines (% of population),WB_WDI,False,WB_WDI,WB_WDI_SI_POV_NAHC,THA,_T,_T,_T,_Z,_Z,_Z,2012,A,PT_POP,
20.4,P1Y,0,,A,PU,_Z,2,Poverty headcount ratio at national poverty lines (% of population),WB_WDI,False,WB_WDI,WB_WDI_SI_POV_NAHC,THA,_T,_T,_T,_Z,_Z,_Z,2008,A,PT_POP,
20,P1Y,0,,A,PU,_Z,2,Poverty headcount ratio at national poverty lines (% of population),WB_WDI,False,WB_WDI,WB_WDI_SI_POV_NAHC,THA,_T,_T,_T,_Z,_Z,_Z,2007,A,PT_POP,
7.2,P1Y,0,,A,PU,_Z,2,Poverty headcount ratio at national poverty lines (% of population),WB_WDI,False,WB_WDI,WB_WDI_SI_POV_NAHC,THA,_T,_T,_T,_Z,_Z,_Z,2015,A,PT_POP,
32.4,P1Y,0,,A,PU,_Z,2,Poverty headcount ratio at national poverty lines (% of population),WB_WDI,False,WB_WDI,WB_WDI_SI_POV_NAHC,THA,_T,_T,_T,_Z,_Z,_Z,2002,A,PT_POP,
10.5,P1Y,0,,A,PU,_Z,2,Poverty headcount ratio at national poverty lines (% of population),WB_WDI,False,WB_WDI,WB_WDI_SI_POV_NAHC,THA,_T,_T,_T,_Z,_Z,_Z,2014,A,PT_POP,
6.2,P1Y,0,,A,PU,_Z,2,Poverty headcount ratio at national poverty lines (% of population),WB_WDI,False,WB_WDI,WB_WDI_SI_POV_NAHC,THA,_T,_T,_T,_Z,_Z,_Z,2019,A,PT_POP,
17.9,P1Y,0,,A,PU,_Z,2,Poverty headcount ratio at national poverty lines (% of population),WB_WDI,False,WB_WDI,WB_WDI_SI_POV_NAHC,THA,_T,_T,_T,_Z,_Z,_Z,2009,A,PT_POP,
6.8,P1Y,0,,A,PU,_Z,2,Poverty headcount ratio at national poverty lines (% of population),WB_WDI,False,WB_WDI,WB_WDI_SI_POV_NAHC,THA,_T,_T,_T,_Z,_Z,_Z,2020,A,PT_POP,
5.4,P1Y,0,,A,PU,_Z,2,Poverty headcount ratio at national poverty lines (% of population),WB_WDI,True,WB_WDI,WB_WDI_SI_POV_NAHC,THA,_T,_T,_T,_Z,_Z,_Z,2022,A,PT_POP,
