OBS_VALUE,TIME_FORMAT,UNIT_MULT,COMMENT_OBS,OBS_STATUS,OBS_CONF,AGG_METHOD,DECIMALS,COMMENT_TS,DATA_SOURCE,LATEST_DATA,DATABASE_ID,INDICATOR,REF_AREA,SEX,AGE,URBANISATION,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,FREQ,UNIT_MEASURE,UNIT_TYPE
13.97,P1Y,0,,A,PU,_Z,2,"Hospital beds (per 1,000 people)",WB_WDI,False,WB_WDI,WB_WDI_SH_MED_BEDS_ZS,JPN,_T,_T,_T,_Z,_Z,_Z,2006,A,10P3PS,
13.61,P1Y,0,,A,PU,_Z,2,"Hospital beds (per 1,000 people)",WB_WDI,False,WB_WDI,WB_WDI_SH_MED_BEDS_ZS,JPN,_T,_T,_T,_Z,_Z,_Z,2009,A,10P3PS,
13.71,P1Y,0,,A,PU,_Z,2,"Hospital beds (per 1,000 people)",WB_WDI,False,WB_WDI,WB_WDI_SH_MED_BEDS_ZS,JPN,_T,_T,_T,_Z,_Z,_Z,2008,A,10P3PS,
13,P1Y,0,,A,PU,_Z,2,"Hospital beds (per 1,000 people)",WB_WDI,False,WB_WDI,WB_WDI_SH_MED_BEDS_ZS,JPN,_T,_T,_T,_Z,_Z,_Z,2018,A,10P3PS,
13.28,P1Y,0,,A,PU,_Z,2,"Hospital beds (per 1,000 people)",WB_WDI,False,WB_WDI,WB_WDI_SH_MED_BEDS_ZS,JPN,_T,_T,_T,_Z,_Z,_Z,2013,A,10P3PS,
13.05,P1Y,0,,A,PU,_Z,2,"Hospital beds (per 1,000 people)",WB_WDI,False,WB_WDI,WB_WDI_SH_MED_BEDS_ZS,JPN,_T,_T,_T,_Z,_Z,_Z,2017,A,10P3PS,
13.33,P1Y,0,,A,PU,_Z,2,"Hospital beds (per 1,000 people)",WB_WDI,False,WB_WDI,WB_WDI_SH_MED_BEDS_ZS,JPN,_T,_T,_T,_Z,_Z,_Z,2012,A,10P3PS,
12.88,P1Y,0,,A,PU,_Z,2,"Hospital beds (per 1,000 people)",WB_WDI,False,WB_WDI,WB_WDI_SH_MED_BEDS_ZS,JPN,_T,_T,_T,_Z,_Z,_Z,2019,A,10P3PS,
14.45,P1Y,0,,A,PU,_Z,2,"Hospital beds (per 1,000 people)",WB_WDI,False,WB_WDI,WB_WDI_SH_MED_BEDS_ZS,JPN,_T,_T,_T,_Z,_Z,_Z,2002,A,10P3PS,
14.61,P1Y,0,,A,PU,_Z,2,"Hospital beds (per 1,000 people)",WB_WDI,False,WB_WDI,WB_WDI_SH_MED_BEDS_ZS,JPN,_T,_T,_T,_Z,_Z,_Z,2001,A,10P3PS,
14.2,P1Y,0,,A,PU,_Z,2,"Hospital beds (per 1,000 people)",WB_WDI,False,WB_WDI,WB_WDI_SH_MED_BEDS_ZS,JPN,_T,_T,_T,_Z,_Z,_Z,2004,A,10P3PS,
14.7,P1Y,0,,A,PU,_Z,2,"Hospital beds (per 1,000 people)",WB_WDI,False,WB_WDI,WB_WDI_SH_MED_BEDS_ZS,JPN,_T,_T,_T,_Z,_Z,_Z,2000,A,10P3PS,
13.18,P1Y,0,,A,PU,_Z,2,"Hospital beds (per 1,000 people)",WB_WDI,False,WB_WDI,WB_WDI_SH_MED_BEDS_ZS,JPN,_T,_T,_T,_Z,_Z,_Z,2014,A,10P3PS,
13.38,P1Y,0,,A,PU,_Z,2,"Hospital beds (per 1,000 people)",WB_WDI,False,WB_WDI,WB_WDI_SH_MED_BEDS_ZS,JPN,_T,_T,_T,_Z,_Z,_Z,2011,A,10P3PS,
13.11,P1Y,0,,A,PU,_Z,2,"Hospital beds (per 1,000 people)",WB_WDI,False,WB_WDI,WB_WDI_SH_MED_BEDS_ZS,JPN,_T,_T,_T,_Z,_Z,_Z,2016,A,10P3PS,
13.51,P1Y,0,,A,PU,_Z,2,"Hospital beds (per 1,000 people)",WB_WDI,False,WB_WDI,WB_WDI_SH_MED_BEDS_ZS,JPN,_T,_T,_T,_Z,_Z,_Z,2010,A,10P3PS,
14.07,P1Y,0,,A,PU,_Z,2,"Hospital beds (per 1,000 people)",WB_WDI,False,WB_WDI,WB_WDI_SH_MED_BEDS_ZS,JPN,_T,_T,_T,_Z,_Z,_Z,2005,A,10P3PS,
12.72,P1Y,0,,A,PU,_Z,2,"Hospital beds (per 1,000 people)",WB_WDI,True,WB_WDI,WB_WDI_SH_MED_BEDS_ZS,JPN,_T,_T,_T,_Z,_Z,_Z,2020,A,10P3PS,
13.87,P1Y,0,,A,PU,_Z,2,"Hospital beds (per 1,000 people)",WB_WDI,False,WB_WDI,WB_WDI_SH_MED_BEDS_ZS,JPN,_T,_T,_T,_Z,_Z,_Z,2007,A,10P3PS,
13.15,P1Y,0,,A,PU,_Z,2,"Hospital beds (per 1,000 people)",WB_WDI,False,WB_WDI,WB_WDI_SH_MED_BEDS_ZS,JPN,_T,_T,_T,_Z,_Z,_Z,2015,A,10P3PS,
14.27,P1Y,0,,A,PU,_Z,2,"Hospital beds (per 1,000 people)",WB_WDI,False,WB_WDI,WB_WDI_SH_MED_BEDS_ZS,JPN,_T,_T,_T,_Z,_Z,_Z,2003,A,10P3PS,
